order_id,order_date,customer_id,product_id,campaign_id,channel,region,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,status,is_return
O00001,2026-06-04,C0007,P014,CAM001,Social,Mumbai,3,2044,0,6132,0.0,6132.0,Completed,False
O00002,2026-02-20,C0040,P007,CAM002,Website,Chennai,4,13533,20,54132,10826.4,43305.6,Completed,False
O00003,2026-06-16,C0050,P005,CAM010,Marketplace,Delhi,4,6427,15,25708,3856.2,21851.8,Completed,False
O00004,2026-02-23,C0092,P004,CAM003,Mobile App,Mumbai,2,13261,5,26522,1326.1,25195.9,Completed,False
O00005,2026-03-20,C0022,P020,CAM001,Social,Chennai,1,15417,0,15417,0.0,-15417.0,Returned,True
O00006,2026-04-30,C0050,P003,CAM005,Social,Delhi,2,9686,15,19372,2905.8,16466.2,Completed,False
O00007,2026-01-23,C0035,P016,CAM006,Social,Mumbai,3,9686,0,29058,0.0,29058.0,Completed,False
O00008,2026-04-11,C0014,P018,CAM006,Mobile App,Mumbai,3,15417,15,46251,6937.65,39313.35,Completed,False
O00009,2026-04-02,C0011,P001,CAM007,Marketplace,Hyderabad,1,7276,15,7276,1091.4,6184.6,Completed,False
O00010,2026-05-22,C0037,P012,CAM010,Marketplace,Mumbai,3,7276,5,21828,1091.4,20736.6,Completed,False
O00011,2026-06-30,C0009,P012,CAM008,Social,Chennai,1,15417,5,15417,770.85,14646.15,Completed,False
O00012,2026-05-01,C0007,P008,CAM001,Website,Bengaluru,3,11524,5,34572,1728.6,32843.4,Completed,False
O00013,2026-03-16,C0036,P014,CAM001,Social,Hyderabad,3,9015,5,27045,1352.25,25692.75,Completed,False
O00014,2026-03-15,C0021,P009,CAM001,Mobile App,Chennai,3,17174,0,51522,0.0,51522.0,Completed,False
O00015,2026-03-17,C0056,P009,CAM004,Website,Delhi,2,7276,5,14552,727.6,-13824.4,Returned,True
O00016,2026-05-28,C0002,P009,CAM004,Marketplace,Delhi,2,13261,15,26522,3978.3,22543.7,Completed,False
O00017,2026-02-28,C0031,P017,CAM010,Social,Mumbai,3,17174,5,51522,2576.1,48945.9,Completed,False
O00018,2026-01-31,C0046,P013,CAM004,Website,Mumbai,3,2044,15,6132,919.8,5212.2,Completed,False
O00019,2026-03-02,C0097,P008,CAM001,Website,Delhi,4,9072,20,36288,7257.6,29030.4,Completed,False
O00020,2026-01-05,C0064,P019,CAM009,Social,Hyderabad,2,12255,15,24510,3676.5,20833.5,Completed,False
O00021,2026-01-20,C0089,P017,CAM003,Social,Bengaluru,2,1100,10,2200,220.0,1980.0,Completed,False
O00022,2026-01-17,C0035,P019,CAM010,Website,Hyderabad,2,15417,5,30834,1541.7,29292.3,Completed,False
O00023,2026-05-20,C0045,P015,CAM008,Social,Hyderabad,3,12255,20,36765,7353.0,29412.0,Completed,False
O00024,2026-05-11,C0043,P008,CAM009,Social,Bengaluru,1,6427,5,6427,321.35,6105.65,Completed,False
O00025,2026-05-07,C0089,P016,CAM009,Social,Bengaluru,2,12255,10,24510,2451.0,22059.0,Completed,False
O00026,2026-03-25,C0096,P007,CAM002,Website,Delhi,1,12255,10,12255,1225.5,-11029.5,Returned,True
O00027,2026-05-10,C0097,P006,CAM007,Marketplace,Hyderabad,3,11294,15,33882,5082.3,28799.7,Completed,False
O00028,2026-01-30,C0076,P010,CAM005,Social,Mumbai,4,13261,10,53044,5304.4,47739.6,Completed,False
O00029,2026-06-13,C0051,P020,CAM007,Social,Delhi,4,7276,15,29104,4365.6,24738.4,Completed,False
O00030,2026-04-01,C0055,P012,CAM008,Marketplace,Hyderabad,2,2266,20,4532,906.4,3625.6,Completed,False
O00031,2026-06-19,C0099,P008,CAM006,Website,Mumbai,1,7276,5,7276,363.8,6912.2,Completed,False
O00032,2026-01-28,C0029,P010,CAM004,Website,Mumbai,1,9015,20,9015,1803.0,7212.0,Completed,False
O00033,2026-04-01,C0035,P006,CAM010,Mobile App,Hyderabad,1,9686,0,9686,0.0,9686.0,Completed,False
O00034,2026-05-07,C0090,P014,CAM007,Website,Mumbai,4,11704,20,46816,9363.2,37452.8,Completed,False
O00035,2026-03-31,C0039,P008,CAM009,Website,Chennai,4,9686,0,38744,0.0,38744.0,Completed,False
O00036,2026-03-22,C0024,P012,CAM003,Website,Chennai,3,13533,20,40599,8119.8,32479.2,Completed,False
O00037,2026-01-31,C0057,P008,CAM009,Social,Chennai,1,9015,5,9015,450.75,8564.25,Completed,False
O00038,2026-03-10,C0033,P007,CAM004,Marketplace,Mumbai,1,7276,20,7276,1455.2,5820.8,Completed,False
O00039,2026-02-13,C0090,P020,CAM005,Marketplace,Delhi,4,7276,0,29104,0.0,29104.0,Completed,False
O00040,2026-02-24,C0091,P007,CAM009,Social,Delhi,2,1100,10,2200,220.0,1980.0,Completed,False
O00041,2026-05-04,C0031,P002,CAM004,Mobile App,Mumbai,1,2266,20,2266,453.2,-1812.8,Returned,True
O00042,2026-04-25,C0053,P008,CAM003,Mobile App,Chennai,1,11524,0,11524,0.0,11524.0,Completed,False
O00043,2026-04-20,C0099,P011,CAM010,Website,Bengaluru,2,9015,5,18030,901.5,17128.5,Completed,False
O00044,2026-03-07,C0075,P002,CAM010,Mobile App,Mumbai,3,11294,0,33882,0.0,33882.0,Completed,False
O00045,2026-06-23,C0022,P007,CAM004,Website,Hyderabad,4,2266,5,9064,453.2,8610.8,Completed,False
O00046,2026-01-16,C0060,P004,CAM004,Marketplace,Chennai,2,17174,5,34348,1717.4,32630.6,Completed,False
O00047,2026-03-04,C0062,P011,CAM003,Social,Delhi,3,16000,15,48000,7200.0,40800.0,Completed,False
O00048,2026-01-22,C0066,P015,CAM001,Marketplace,Hyderabad,1,12255,5,12255,612.75,11642.25,Completed,False
O00049,2026-03-03,C0003,P020,CAM006,Mobile App,Delhi,1,11404,0,11404,0.0,11404.0,Completed,False
O00050,2026-06-24,C0030,P008,CAM003,Marketplace,Delhi,1,12877,0,12877,0.0,12877.0,Completed,False
O00051,2026-03-08,C0086,P018,CAM009,Social,Delhi,4,9686,20,38744,7748.8,30995.2,Completed,False
O00052,2026-06-14,C0025,P005,CAM002,Mobile App,Chennai,3,9072,20,27216,5443.2,21772.8,Completed,False
O00053,2026-03-31,C0030,P016,CAM007,Mobile App,Delhi,4,2266,5,9064,453.2,8610.8,Completed,False
O00054,2026-05-07,C0033,P012,CAM006,Marketplace,Mumbai,1,11404,0,11404,0.0,11404.0,Completed,False
O00055,2026-03-24,C0018,P016,CAM007,Website,Hyderabad,1,6427,0,6427,0.0,6427.0,Completed,False
O00056,2026-02-18,C0016,P016,CAM002,Social,Bengaluru,4,9015,20,36060,7212.0,28848.0,Completed,False
O00057,2026-05-19,C0035,P011,CAM005,Mobile App,Hyderabad,1,12877,15,12877,1931.55,-10945.45,Returned,True
O00058,2026-06-25,C0088,P006,CAM007,Mobile App,Hyderabad,1,12255,15,12255,1838.25,10416.75,Completed,False
O00059,2026-02-17,C0001,P011,CAM004,Marketplace,Bengaluru,3,16000,5,48000,2400.0,45600.0,Completed,False
O00060,2026-05-21,C0029,P017,CAM009,Website,Delhi,3,11522,15,34566,5184.9,29381.1,Completed,False
O00061,2026-02-17,C0007,P020,CAM006,Website,Hyderabad,1,12255,0,12255,0.0,12255.0,Completed,False
O00062,2026-05-10,C0057,P019,CAM004,Website,Chennai,2,13533,15,27066,4059.9,23006.1,Completed,False
O00063,2026-05-23,C0026,P004,CAM001,Mobile App,Mumbai,3,11294,10,33882,3388.2,30493.8,Completed,False
O00064,2026-03-23,C0080,P012,CAM002,Marketplace,Hyderabad,2,7276,5,14552,727.6,13824.4,Completed,False
O00065,2026-05-14,C0059,P003,CAM005,Website,Chennai,2,11404,15,22808,3421.2,19386.8,Completed,False
O00066,2026-02-19,C0079,P014,CAM005,Mobile App,Bengaluru,1,7276,15,7276,1091.4,6184.6,Completed,False
O00067,2026-01-15,C0064,P020,CAM009,Social,Mumbai,2,13533,10,27066,2706.6,24359.4,Completed,False
O00068,2026-01-18,C0044,P002,CAM008,Social,Delhi,4,11524,0,46096,0.0,46096.0,Completed,False
O00069,2026-03-22,C0087,P014,CAM002,Website,Chennai,3,6427,0,19281,0.0,19281.0,Completed,False
O00070,2026-06-13,C0048,P019,CAM006,Marketplace,Mumbai,4,2266,20,9064,1812.8,7251.2,Completed,False
O00071,2026-01-24,C0095,P017,CAM005,Website,Delhi,1,1100,5,1100,55.0,1045.0,Completed,False
O00072,2026-03-24,C0100,P008,CAM002,Marketplace,Bengaluru,1,12877,5,12877,643.85,12233.15,Completed,False
O00073,2026-05-08,C0059,P003,CAM007,Social,Mumbai,3,11404,15,34212,5131.8,29080.2,Completed,False
O00074,2026-02-06,C0068,P019,CAM006,Social,Chennai,1,11704,5,11704,585.2,11118.8,Completed,False
O00075,2026-05-11,C0026,P019,CAM001,Website,Bengaluru,3,1100,5,3300,165.0,-3135.0,Returned,True
O00076,2026-02-25,C0082,P012,CAM005,Mobile App,Mumbai,4,13261,15,53044,7956.6,-45087.4,Returned,True
O00077,2026-05-27,C0068,P020,CAM008,Social,Hyderabad,2,11522,10,23044,2304.4,20739.6,Completed,False
O00078,2026-04-15,C0091,P001,CAM004,Social,Hyderabad,3,13533,15,40599,6089.85,34509.15,Completed,False
O00079,2026-04-09,C0027,P013,CAM004,Mobile App,Hyderabad,3,16000,0,48000,0.0,48000.0,Completed,False
O00080,2026-02-01,C0079,P001,CAM002,Website,Mumbai,1,17174,10,17174,1717.4,15456.6,Completed,False
O00081,2026-03-25,C0048,P019,CAM003,Mobile App,Bengaluru,4,2044,10,8176,817.6,7358.4,Completed,False
O00082,2026-06-05,C0019,P014,CAM010,Marketplace,Hyderabad,1,12255,15,12255,1838.25,10416.75,Completed,False
O00083,2026-01-04,C0018,P019,CAM007,Mobile App,Mumbai,4,15417,0,61668,0.0,61668.0,Completed,False
O00084,2026-05-18,C0057,P012,CAM002,Social,Delhi,3,13261,0,39783,0.0,39783.0,Completed,False
O00085,2026-03-31,C0032,P002,CAM005,Social,Bengaluru,1,9072,15,9072,1360.8,7711.2,Completed,False
O00086,2026-05-11,C0011,P001,CAM002,Social,Delhi,3,17174,15,51522,7728.3,43793.7,Completed,False
O00087,2026-05-01,C0043,P007,CAM005,Website,Chennai,1,7276,20,7276,1455.2,5820.8,Completed,False
O00088,2026-03-20,C0066,P015,CAM002,Social,Hyderabad,3,11524,5,34572,1728.6,-32843.4,Returned,True
O00089,2026-02-25,C0032,P004,CAM007,Social,Bengaluru,4,9015,20,36060,7212.0,28848.0,Completed,False
O00090,2026-04-24,C0096,P018,CAM006,Mobile App,Chennai,4,17174,5,68696,3434.8,65261.2,Completed,False
O00091,2026-01-26,C0078,P005,CAM007,Marketplace,Hyderabad,4,15417,15,61668,9250.2,52417.8,Completed,False
O00092,2026-04-16,C0052,P010,CAM005,Social,Mumbai,2,9686,0,19372,0.0,19372.0,Completed,False
O00093,2026-01-18,C0094,P005,CAM003,Social,Delhi,3,15417,20,46251,9250.2,37000.8,Completed,False
O00094,2026-04-28,C0044,P010,CAM003,Marketplace,Bengaluru,2,11294,5,22588,1129.4,21458.6,Completed,False
O00095,2026-04-24,C0014,P010,CAM003,Website,Delhi,4,12255,20,49020,9804.0,39216.0,Completed,False
