customer_id,customer_name,region,signup_date
C0001,Customer 0001,Bengaluru,2025-01-01
C0002,Customer 0002,Mumbai,2025-01-04
C0003,Customer 0003,Mumbai,2025-01-07
C0004,Customer 0004,Chennai,2025-01-10
C0005,Customer 0005,Chennai,2025-01-13
C0006,Customer 0006,Delhi,2025-01-16
C0007,Customer 0007,Bengaluru,2025-01-19
C0008,Customer 0008,Mumbai,2025-01-22
C0009,Customer 0009,Hyderabad,2025-01-25
C0010,Customer 0010,Bengaluru,2025-01-28
C0011,Customer 0011,Chennai,2025-01-31
C0012,Customer 0012,Delhi,2025-02-03
C0013,Customer 0013,Mumbai,2025-02-06
C0014,Customer 0014,Mumbai,2025-02-09
C0015,Customer 0015,Mumbai,2025-02-12
C0016,Customer 0016,Mumbai,2025-02-15
C0017,Customer 0017,Chennai,2025-02-18
C0018,Customer 0018,Bengaluru,2025-02-21
C0019,Customer 0019,Delhi,2025-02-24
C0020,Customer 0020,Chennai,2025-02-27
C0021,Customer 0021,Chennai,2025-03-02
C0022,Customer 0022,Hyderabad,2025-03-05
C0023,Customer 0023,Bengaluru,2025-03-08
C0024,Customer 0024,Delhi,2025-03-11
C0025,Customer 0025,Mumbai,2025-03-14
C0026,Customer 0026,Mumbai,2025-03-17
C0027,Customer 0027,Chennai,2025-03-20
C0028,Customer 0028,Delhi,2025-03-23
C0029,Customer 0029,Chennai,2025-03-26
C0030,Customer 0030,Chennai,2025-03-29
C0031,Customer 0031,Chennai,2025-04-01
C0032,Customer 0032,Hyderabad,2025-04-04
C0033,Customer 0033,Bengaluru,2025-04-07
C0034,Customer 0034,Chennai,2025-04-10
C0035,Customer 0035,Delhi,2025-04-13
C0036,Customer 0036,Bengaluru,2025-04-16
C0037,Customer 0037,Delhi,2025-04-19
C0038,Customer 0038,Delhi,2025-04-22
C0039,Customer 0039,Hyderabad,2025-04-25
C0040,Customer 0040,Mumbai,2025-04-28
C0041,Customer 0041,Bengaluru,2025-05-01
C0042,Customer 0042,Mumbai,2025-05-04
C0043,Customer 0043,Mumbai,2025-05-07
C0044,Customer 0044,Hyderabad,2025-05-10
C0045,Customer 0045,Bengaluru,2025-05-13
C0046,Customer 0046,Delhi,2025-05-16
C0047,Customer 0047,Chennai,2025-05-19
C0048,Customer 0048,Delhi,2025-05-22
C0049,Customer 0049,Mumbai,2025-05-25
C0050,Customer 0050,Mumbai,2025-05-28
C0051,Customer 0051,Mumbai,2025-05-31
C0052,Customer 0052,Bengaluru,2025-06-03
C0053,Customer 0053,Hyderabad,2025-06-06
C0054,Customer 0054,Chennai,2025-06-09
C0055,Customer 0055,Chennai,2025-06-12
C0056,Customer 0056,Bengaluru,2025-06-15
C0057,Customer 0057,Chennai,2025-06-18
C0058,Customer 0058,Bengaluru,2025-06-21
C0059,Customer 0059,Mumbai,2025-06-24
C0060,Customer 0060,Mumbai,2025-06-27
C0061,Customer 0061,Delhi,2025-06-30
C0062,Customer 0062,Mumbai,2025-07-03
C0063,Customer 0063,Hyderabad,2025-07-06
C0064,Customer 0064,Delhi,2025-07-09
C0065,Customer 0065,Chennai,2025-07-12
C0066,Customer 0066,Hyderabad,2025-07-15
C0067,Customer 0067,Delhi,2025-07-18
C0068,Customer 0068,Hyderabad,2025-07-21
C0069,Customer 0069,Bengaluru,2025-07-24
C0070,Customer 0070,Chennai,2025-07-27
C0071,Customer 0071,Mumbai,2025-07-30
C0072,Customer 0072,Bengaluru,2025-08-02
C0073,Customer 0073,Chennai,2025-08-05
C0074,Customer 0074,Bengaluru,2025-08-08
C0075,Customer 0075,Mumbai,2025-08-11
C0076,Customer 0076,Chennai,2025-08-14
C0077,Customer 0077,Hyderabad,2025-08-17
C0078,Customer 0078,Hyderabad,2025-08-20
C0079,Customer 0079,Chennai,2025-08-23
C0080,Customer 0080,Mumbai,2025-08-26
C0081,Customer 0081,Delhi,2025-08-29
C0082,Customer 0082,Chennai,2025-09-01
C0083,Customer 0083,Bengaluru,2025-09-04
C0084,Customer 0084,Delhi,2025-09-07
C0085,Customer 0085,Mumbai,2025-09-10
C0086,Customer 0086,Mumbai,2025-09-13
C0087,Customer 0087,Bengaluru,2025-09-16
C0088,Customer 0088,Hyderabad,2025-09-19
C0089,Customer 0089,Mumbai,2025-09-22
C0090,Customer 0090,Delhi,2025-09-25
C0091,Customer 0091,Chennai,2025-09-28
C0092,Customer 0092,Delhi,2025-10-01
C0093,Customer 0093,Delhi,2025-10-04
C0094,Customer 0094,Hyderabad,2025-10-07
C0095,Customer 0095,Delhi,2025-10-10
C0096,Customer 0096,Hyderabad,2025-10-13
C0097,Customer 0097,Hyderabad,2025-10-16
C0098,Customer 0098,Mumbai,2025-10-19
C0099,Customer 0099,Mumbai,2025-10-22
C0100,Customer 0100,Bengaluru,2025-10-25
