order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,status,channel,region,campaign_id
O00001,2026-06-04,C0007,P014,3,2044,0,Completed,Social,Mumbai,CAM001
O00002,2026-02-20,C0040,P007,4,13533,20,Completed,Website,Chennai,CAM002
O00003,2026-06-16,C0050,P005,4,6427,15,Completed,Marketplace,Delhi,CAM010
O00004,2026-02-23,C0092,P004,2,13261,5,Completed,Mobile App,Mumbai,CAM003
O00005,2026-03-20,C0022,P020,1,15417,0,Returned,Social,Chennai,CAM001
O00006,2026-04-30,C0050,P003,2,9686,15,Completed,Social,Delhi,CAM005
O00007,2026-01-23,C0035,P016,3,9686,0,Completed,Social,Mumbai,CAM006
O00008,2026-04-11,C0014,P018,3,15417,15,Completed,Mobile App,Mumbai,CAM006
O00009,2026-04-02,C0011,P001,1,7276,15,Completed,Marketplace,Hyderabad,CAM007
O00010,2026-05-22,C0037,P012,3,7276,5,Completed,Marketplace,Mumbai,CAM010
O00011,2026-06-30,C0009,P012,1,15417,5,Completed,Social,Chennai,CAM008
O00012,2026-05-01,C0007,P008,3,11524,5,Completed,Website,Bengaluru,CAM001
O00013,2026-03-16,C0036,P014,3,9015,5,Completed,Social,Hyderabad,CAM001
O00014,2026-03-15,C0021,P009,3,17174,0,Completed,Mobile App,Chennai,CAM001
O00015,2026-03-17,C0056,P009,2,7276,5,Returned,Website,Delhi,CAM004
O00016,2026-05-28,C0002,P009,2,13261,15,Completed,Marketplace,Delhi,CAM004
O00017,2026-02-28,C0031,P017,3,17174,5,Completed,Social,Mumbai,CAM010
O00018,2026-01-31,C0046,P013,3,2044,15,Completed,Website,Mumbai,CAM004
O00019,2026-03-02,C0097,P008,4,9072,20,Completed,Website,Delhi,CAM001
O00020,2026-01-05,C0064,P019,2,12255,15,Completed,Social,Hyderabad,CAM009
O00021,2026-01-20,C0089,P017,2,1100,10,Completed,Social,Bengaluru,CAM003
O00022,2026-01-17,C0035,P019,2,15417,5,Completed,Website,Hyderabad,CAM010
O00023,2026-05-20,C0045,P015,3,12255,20,Completed,Social,Hyderabad,CAM008
O00024,2026-05-11,C0043,P008,1,6427,5,Completed,Social,Bengaluru,CAM009
O00025,2026-05-07,C0089,P016,2,12255,10,Completed,Social,Bengaluru,CAM009
O00026,2026-03-25,C0096,P007,1,12255,10,Returned,Website,Delhi,CAM002
O00027,2026-05-10,C0097,P006,3,11294,15,Completed,Marketplace,Hyderabad,CAM007
O00028,2026-01-30,C0076,P010,4,13261,10,Completed,Social,Mumbai,CAM005
