session_id,session_date,customer_id,channel,sessions,conversions
S00001,2026-01-23,C0038,Social,1,1
S00002,2026-04-05,C0056,Social,1,0
S00003,2026-05-08,C0074,Marketplace,1,1
S00004,2026-04-24,C0002,Social,1,0
S00005,2026-04-29,C0065,Marketplace,1,0
S00006,2026-03-06,C0087,Website,1,0
S00007,2026-06-10,C0073,Marketplace,1,0
S00008,2026-01-13,C0062,Website,1,1
S00009,2026-01-20,C0010,Social,1,1
S00010,2026-06-04,C0075,Mobile App,1,0
S00011,2026-01-13,C0076,Website,1,0
S00012,2026-02-04,C0050,Mobile App,1,0
S00013,2026-02-01,C0059,Marketplace,1,0
S00014,2026-01-06,C0062,Social,1,0
S00015,2026-01-22,C0013,Marketplace,1,1
S00016,2026-04-14,C0026,Website,1,0
S00017,2026-04-30,C0080,Social,1,0
S00018,2026-01-16,C0098,Social,1,0
S00019,2026-06-20,C0028,Mobile App,1,0
S00020,2026-01-18,C0041,Marketplace,1,0
S00021,2026-05-05,C0092,Social,1,0
S00022,2026-05-25,C0017,Mobile App,1,0
S00023,2026-04-05,C0027,Website,1,0
S00024,2026-03-30,C0006,Website,1,1
S00025,2026-01-20,C0024,Marketplace,1,0
S00026,2026-02-13,C0064,Social,1,0
S00027,2026-06-03,C0035,Marketplace,1,0
S00028,2026-03-05,C0099,Marketplace,1,0
S00029,2026-01-07,C0090,Mobile App,1,0
S00030,2026-05-12,C0090,Mobile App,1,0
S00031,2026-05-04,C0073,Website,1,0
S00032,2026-01-13,C0071,Mobile App,1,0
S00033,2026-01-10,C0051,Marketplace,1,0
S00034,2026-01-22,C0100,Social,1,0
S00035,2026-01-10,C0010,Social,1,0
S00036,2026-04-22,C0073,Social,1,0
S00037,2026-01-25,C0015,Website,1,1
S00038,2026-04-20,C0034,Social,1,0
S00039,2026-02-01,C0026,Website,1,0
S00040,2026-06-26,C0061,Marketplace,1,1
S00041,2026-05-12,C0079,Social,1,0
S00042,2026-03-09,C0008,Social,1,0
S00043,2026-03-19,C0061,Marketplace,1,0
S00044,2026-01-12,C0023,Mobile App,1,0
S00045,2026-01-10,C0008,Marketplace,1,0
S00046,2026-04-08,C0042,Marketplace,1,0
S00047,2026-01-05,C0059,Marketplace,1,0
S00048,2026-04-26,C0021,Mobile App,1,0
S00049,2026-03-11,C0039,Mobile App,1,0
S00050,2026-01-26,C0096,Marketplace,1,0
